************* Module ctypes._endian
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0401: Wildcard import ctypes (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:4:0: C0103: Class name "_array_type" doesn't conform to PascalCase naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:17:29: W0212: Access to a protected member _type_ of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:17:43: W0212: Access to a protected member _length_ of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:23:0: C0103: Class name "_swapped_meta" doesn't conform to PascalCase naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:24:4: C0203: Metaclass method __setattr__ should have 'cls' as first argument (bad-mcs-method-argument)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:46:4: E0102: class already defined line 2 (function-redefined)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:46:4: R0903: Too few public methods (0/2) (too-few-public-methods)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:55:4: E0102: class already defined line 2 (function-redefined)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:55:4: R0903: Too few public methods (0/2) (too-few-public-methods)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import LittleEndianStructure from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import BigEndianStructure from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import DEFAULT_MODE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import create_string_buffer from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_buffer from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import CFUNCTYPE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import WINFUNCTYPE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import py_object from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_short from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_ushort from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_long from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_ulong from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_int from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_uint from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_float from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_double from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_longdouble from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_longlong from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_ulonglong from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_ubyte from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_byte from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_char from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_char_p from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_void_p from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_voidp from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_bool from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_wchar_p from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_wchar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import create_unicode_buffer from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import SetPointerType from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import ARRAY from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import CDLL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import PyDLL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import WinDLL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import HRESULT from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import OleDLL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import LibraryLoader from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import cdll from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import pydll from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import pythonapi from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import windll from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import oledll from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import GetLastError from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import WinError from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_size_t from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_ssize_t from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import memmove from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import memset from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import PYFUNCTYPE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import cast from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import string_at from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import wstring_at from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import DllGetClassObject from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import DllCanUnloadNow from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_int8 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_uint8 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import kind from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_int16 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_int32 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_int64 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_uint16 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_uint32 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import c_uint64 from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import Union from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import RTLD_LOCAL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import RTLD_GLOBAL from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import ArgumentError from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import FormatError from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import sizeof from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import byref from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import addressof from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import alignment from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import resize from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import get_errno from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import set_errno from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import POINTER from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import pointer from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import get_last_error from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ctypes/_endian.py:2:0: W0614: Unused import set_last_error from wildcard import (unused-wildcard-import)

-------------------------------------
Your code has been rated at -17.71/10

