************* Module ast
/log/firmware/firmware/usr/lib/python3.8/ast.py:502:0: W0622: Redefining built-in 'Ellipsis' (redefined-builtin)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0401: Wildcard import _ast (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:70:12: R1705: Unnecessary "else" after "return" (no-else-return)
/log/firmware/firmware/usr/lib/python3.8/ast.py:76:8: R1705: Unnecessary "elif" after "return" (no-else-return)
/log/firmware/firmware/usr/lib/python3.8/ast.py:91:16: R1705: Unnecessary "else" after "return" (no-else-return)
/log/firmware/firmware/usr/lib/python3.8/ast.py:75:4: R0911: Too many return statements (8/6) (too-many-return-statements)
/log/firmware/firmware/usr/lib/python3.8/ast.py:110:8: R1705: Unnecessary "elif" after "return" (no-else-return)
/log/firmware/firmware/usr/lib/python3.8/ast.py:123:38: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:124:20: C0103: Variable name "a" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/ast.py:124:25: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:144:19: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:144:52: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:159:23: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:164:27: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:169:27: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:174:31: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:158:4: R0912: Too many branches (13/12) (too-many-branches)
/log/firmware/firmware/usr/lib/python3.8/ast.py:185:0: C0103: Argument name "n" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/ast.py:192:23: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:194:27: W0212: Access to a protected member _attributes of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/ast.py:216:8: W0612: Unused variable 'name' (unused-variable)
/log/firmware/firmware/usr/lib/python3.8/ast.py:246:8: C0415: Import outside toplevel (inspect) (import-outside-toplevel)
/log/firmware/firmware/usr/lib/python3.8/ast.py:260:8: C0103: Variable name "c" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/ast.py:279:8: C0103: Variable name "c" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/ast.py:328:4: C0415: Import outside toplevel (collections.deque) (import-outside-toplevel)
/log/firmware/firmware/usr/lib/python3.8/ast.py:336:0: R0205: Class 'NodeVisitor' inherits from object, can be safely removed from bases in python3 (useless-object-inheritance)
/log/firmware/firmware/usr/lib/python3.8/ast.py:364:12: W0612: Unused variable 'field' (unused-variable)
/log/firmware/firmware/usr/lib/python3.8/ast.py:372:4: C0103: Method name "visit_Constant" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/ast.py:387:16: C0415: Import outside toplevel (warnings) (import-outside-toplevel)
/log/firmware/firmware/usr/lib/python3.8/ast.py:437:24: R1724: Unnecessary "elif" after "continue" (no-else-continue)
/log/firmware/firmware/usr/lib/python3.8/ast.py:487:0: R0903: Too few public methods (0/2) (too-few-public-methods)
/log/firmware/firmware/usr/lib/python3.8/ast.py:491:0: R0903: Too few public methods (0/2) (too-few-public-methods)
/log/firmware/firmware/usr/lib/python3.8/ast.py:495:0: R0903: Too few public methods (0/2) (too-few-public-methods)
/log/firmware/firmware/usr/lib/python3.8/ast.py:499:0: R0903: Too few public methods (0/2) (too-few-public-methods)
/log/firmware/firmware/usr/lib/python3.8/ast.py:502:0: R0903: Too few public methods (1/2) (too-few-public-methods)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import And from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import AnnAssign from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Assert from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Assign from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import AsyncFor from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import AsyncWith from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Attribute from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import AugAssign from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Await from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import BitAnd from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import BitOr from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import BitXor from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import BoolOp from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Break from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Call from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Compare from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Continue from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Del from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Delete from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import DictComp from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Div from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Eq from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import ExceptHandler from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import FloorDiv from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import For from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import FormattedValue from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import FunctionType from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import GeneratorExp from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Global from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import Gt from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import GtE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import If from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/ast.py:27:0: W0614: Unused import IfExp from wildcard import (unused-wildcard-import)
