************* Module idlelib.autocomplete_w
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:321:0: C0325: Unnecessary parens after 'not' keyword (superfluous-parens)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:353:0: C0325: Unnecessary parens after 'not' keyword (superfluous-parens)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0401: Wildcard import tkinter (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:27:0: R0902: Too many instance attributes (23/7) (too-many-instance-attributes)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:75:4: C0103: Argument name "s" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:79:15: C0321: More than one statement on a single line (multiple-statements)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:81:12: C0103: Variable name "m" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:88:4: C0103: Argument name "s" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:101:12: C0103: Variable name "m" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:158:4: C0103: Argument name "userWantsWin" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:158:4: R0913: Too many arguments (6/5) (too-many-arguments)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:192:70: W0212: Access to a protected member _w of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:245:8: C0103: Variable name "x" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:245:11: C0103: Variable name "y" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:245:14: C0103: Variable name "cx" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:245:18: C0103: Variable name "cy" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:234:30: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:245:14: W0612: Unused variable 'cx' (unused-variable)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:296:31: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:302:32: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:318:8: R1705: Unnecessary "elif" after "return" (no-else-return)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:393:12: R1705: Unnecessary "else" after "return" (no-else-return)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:308:4: R0911: Too many return statements (11/6) (too-many-return-statements)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:308:4: R0912: Too many branches (28/12) (too-many-branches)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:308:4: R0915: Too many statements (74/50) (too-many-statements)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:424:31: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:213:8: W0201: Attribute 'hideaid' defined outside __init__ (attribute-defined-outside-init)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:451:8: W0201: Attribute 'hideaid' defined outside __init__ (attribute-defined-outside-init)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:214:8: W0201: Attribute 'hidewid' defined outside __init__ (attribute-defined-outside-init)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:452:8: W0201: Attribute 'hidewid' defined outside __init__ (attribute-defined-outside-init)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import enum from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import sys from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import re from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import wantobjects from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import TkVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import TclVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import READABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import WRITABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import EXCEPTION from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Event from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import NoDefaultRoot from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Variable from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import StringVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import IntVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import DoubleVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import BooleanVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import mainloop from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import getint from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import getdouble from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import getboolean from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Misc from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import CallWrapper from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import XView from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import YView from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Wm from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Tk from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Tcl from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Pack from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/autocomplete_w.py:6:0: W0614: Unused import Place from wildcard import (unused-wildcard-import)
