************* Module idlelib.tooltip
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0401: Wildcard import tkinter (wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:10:0: R0205: Class 'TooltipBase' inherits from object, can be safely removed from bases in python3 (useless-object-inheritance)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:30:25: C0103: Variable name "tw" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:37:69: W0212: Access to a protected member _w of a client class (protected-access)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:49:8: C0103: Variable name "x" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:49:11: C0103: Variable name "y" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:73:8: C0103: Variable name "tw" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:82:0: W0223: Method 'showcontents' is abstract in class 'TooltipBase' but is not overridden (abstract-method)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:95:8: R1725: Consider using Python 3 style super() without arguments (super-with-arguments)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:110:8: R1725: Consider using Python 3 style super() without arguments (super-with-arguments)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:112:26: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:119:26: W0613: Unused argument 'event' (unused-argument)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:142:8: R1725: Consider using Python 3 style super() without arguments (super-with-arguments)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:157:8: R1725: Consider using Python 3 style super() without arguments (super-with-arguments)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:169:4: C0103: Variable name "x" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:169:7: C0103: Variable name "y" doesn't conform to snake_case naming style (invalid-name)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:185:4: E0611: No name 'idle_test' in module 'idlelib' (no-name-in-module)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import enum from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import sys from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import re from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import wantobjects from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import TkVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import TclVersion from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import READABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import WRITABLE from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import EXCEPTION from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import EventType from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Event from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import NoDefaultRoot from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import Variable from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import StringVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import IntVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import DoubleVar from wildcard import (unused-wildcard-import)
/log/firmware/firmware/usr/lib/python3.8/idlelib/tooltip.py:7:0: W0614: Unused import BooleanVar from wildcard import (unused-wildcard-import)
